	CCR170093_RNA_WPT_013	CCR170012_MH17T001P013
ENSG00000223972	2	0
ENSG00000227232	297	135
ENSG00000243485	0	0
ENSG00000237613	0	0
ENSG00000268020	0	0
ENSG00000240361	0	0
ENSG00000186092	0	0
ENSG00000238009	3	0
ENSG00000239945	0	0
ENSG00000233750	19	3
ENSG00000237683	128	42
ENSG00000268903	0	0
ENSG00000269981	0	0
ENSG00000239906	1	2
ENSG00000241860	81	36
ENSG00000222623	1	0
ENSG00000241599	8	6
ENSG00000228463	62	21
ENSG00000241670	0	0
ENSG00000237094	8	1
ENSG00000250575	0	1
ENSG00000233653	0	0
ENSG00000224813	0	0
ENSG00000235249	0	0
ENSG00000269732	0	0
ENSG00000256186	0	0
ENSG00000236601	0	0
ENSG00000236743	0	0
ENSG00000236679	0	0
ENSG00000231709	0	0
ENSG00000235146	0	0
ENSG00000239664	0	0
ENSG00000230021	11	2
ENSG00000223659	0	0
ENSG00000225972	1	4
ENSG00000225630	8	46
ENSG00000237973	166	513
ENSG00000229344	4	18
ENSG00000240409	0	0
ENSG00000248527	249	1383
ENSG00000198744	26	37
ENSG00000268663	0	0
ENSG00000185097	0	0
ENSG00000229376	25	24
ENSG00000224956	24	30
ENSG00000235373	24	18
ENSG00000223181	4	0
ENSG00000240618	1	0
ENSG00000229905	1	4
ENSG00000228327	149	76
ENSG00000237491	164	77
ENSG00000230092	10	10
ENSG00000269831	5	4
ENSG00000240453	0	0
ENSG00000177757	13	20
ENSG00000225880	35	23
ENSG00000228794	187	318
ENSG00000230368	2	0
ENSG00000234711	0	0
ENSG00000269308	0	0
ENSG00000272438	2	6
ENSG00000230699	21	4
ENSG00000241180	0	0
ENSG00000223764	14	154
ENSG00000187634	4	195
ENSG00000268179	0	0
ENSG00000188976	4064	2136
ENSG00000187961	559	211
ENSG00000187583	258	293
ENSG00000187642	47	71
ENSG00000272512	43	64
ENSG00000188290	423	470
ENSG00000231702	3	0
ENSG00000224969	0	2
ENSG00000187608	1827	5184
ENSG00000188157	25238	13421
ENSG00000242590	0	0
ENSG00000217801	120	47
ENSG00000273443	9	10
ENSG00000237330	152	50
ENSG00000131591	754	359
ENSG00000223823	16	21
ENSG00000207730	43	25
ENSG00000207607	54	18
ENSG00000198976	77	20
ENSG00000272141	336	127
ENSG00000205231	18	6
ENSG00000162571	20	7
ENSG00000186891	10	71
ENSG00000186827	7	115
ENSG00000078808	4748	4817
ENSG00000176022	932	979
ENSG00000184163	18	56
ENSG00000260179	5	33
ENSG00000160087	1164	986
ENSG00000230415	22	20
ENSG00000162572	100	116
ENSG00000131584	999	1263
ENSG00000169972	278	206
ENSG00000127054	2739	2006
ENSG00000240731	104	57
ENSG00000224051	795	1350
ENSG00000169962	83	134
ENSG00000107404	2332	2450
ENSG00000162576	272	1196
ENSG00000175756	1895	1859
ENSG00000223663	0	0
ENSG00000221978	4967	2861
ENSG00000224870	569	653
ENSG00000242485	1521	1129
ENSG00000264293	0	0
ENSG00000272455	87	47
ENSG00000235098	42	67
ENSG00000225905	4	4
ENSG00000205116	0	2
ENSG00000225285	42	38
ENSG00000179403	2967	3893
ENSG00000215915	54	75
ENSG00000160072	1552	720
ENSG00000197785	906	720
ENSG00000205090	2	12
ENSG00000160075	2183	1555
ENSG00000215791	0	0
ENSG00000215014	13	19
ENSG00000236684	0	0
ENSG00000228594	47	72
ENSG00000272106	252	107
ENSG00000197530	1162	1103
ENSG00000189409	9	40
ENSG00000248333	748	481
ENSG00000272004	4	4
ENSG00000189339	3045	2115
ENSG00000269737	27	69
ENSG00000269227	30	18
ENSG00000215914	8	13
ENSG00000008128	40	32
ENSG00000268575	269	161
ENSG00000227775	264	153
ENSG00000215790	322	138
ENSG00000008130	2889	3213
ENSG00000078369	8522	7578
ENSG00000231050	14	7
ENSG00000169885	36	3
ENSG00000178821	97	57
ENSG00000142609	2	22
ENSG00000233542	8	5
ENSG00000187730	140	32
ENSG00000226969	0	1
ENSG00000067606	641	456
ENSG00000271806	28	19
ENSG00000182873	51	51
ENSG00000162585	780	570
ENSG00000269554	0	0
ENSG00000203301	31	54
ENSG00000243558	0	0
ENSG00000234396	0	6
ENSG00000157933	2301	3906
ENSG00000116151	414	172
ENSG00000272161	0	0
ENSG00000269753	0	0
ENSG00000269896	228	63
ENSG00000238240	0	0
ENSG00000272420	14	1
ENSG00000271921	25	3
ENSG00000271847	17	8
ENSG00000178642	0	0
ENSG00000157916	4072	3863
ENSG00000157911	639	544
ENSG00000149527	243	384
ENSG00000224387	2	11
ENSG00000229393	0	10
ENSG00000157881	1037	701
ENSG00000197921	0	2
ENSG00000272449	224	133
ENSG00000238164	534	490
ENSG00000157873	1602	2355
ENSG00000225931	41	56
ENSG00000228037	41	26
ENSG00000157870	1176	1092
ENSG00000142606	56	16
ENSG00000237058	0	0
ENSG00000215912	139	51
ENSG00000233234	1	0
ENSG00000231630	0	0
ENSG00000169717	0	0
ENSG00000177133	161	30
ENSG00000256761	0	0
ENSG00000142611	1808	292
ENSG00000226286	33	4
ENSG00000272235	122	33
ENSG00000130762	2827	1251
ENSG00000272088	5	8
ENSG00000162591	636	2464
ENSG00000207776	2	0
ENSG00000238260	4	9
ENSG00000158109	1136	2338
ENSG00000116213	881	521
ENSG00000078900	686	223
ENSG00000227589	6	5
ENSG00000235131	23	1
ENSG00000227372	835	702
ENSG00000162592	3	2
ENSG00000235169	51	114
ENSG00000130764	1222	1643
ENSG00000266075	4	6
ENSG00000272153	24	19
ENSG00000116198	1661	1726
ENSG00000169598	276	203
ENSG00000264428	0	0
ENSG00000198912	1066	648
ENSG00000236423	85	60
ENSG00000233304	1	0
ENSG00000226374	0	0
ENSG00000229280	0	0
ENSG00000235054	0	0
ENSG00000227169	0	0
